Base_Metric,Category,DistilBART,FlanT5,Mistral
EF,After,0.030789119298471775,0.017669627446889987,0.017382558630785697
EF,Before,0.029969315619757967,0.048028331848980435,0.01937561102656634
EF1,After,0.09992989417989417,0.07232949428577438,0.062400793650793644
EF1,Before,0.10352116402116401,0.31115097402597397,0.07481349206349205
EHI,After,0.29862138009754796,0.1264818300052695,0.14119580547975283
EHI,Before,0.30932678294452304,0.30678859621200405,0.1440757404241595
EHI_CAL,After,0.29862138009754796,,0.14119580547975283
EHI_CAL,Before,0.30932678294452304,,0.1440757404241595
EHI_EXP,After,0.37870860680083884,,0.345966834226395
EHI_EXP,Before,0.3784260297932203,,0.34593534464500275
EHI_W,After,0.24219284734438523,,0.08923480430265968
EHI_W,Before,0.2549938829918109,,0.10410765135654433
LF,After,0.13880555555555557,0.023871936972556167,0.1573670634920635
LF,Before,0.15238888888888888,0.34307954545454544,0.1490138888888889
NH,After,0.10031944444444445,0.020562499999999997,0.499670634920635
NH,Before,0.10104166666666668,0.11837499999999998,0.5207579365079366
OF,After,0.19386727155530814,0.24036745900578957,0.0762185011933963
OF,Before,0.18102928031900042,0.07040497589214664,0.08713007139982333
PH,After,0.09992989417989417,0.030428159061858515,0.062400793650793644
PH,Before,0.10352116402116401,0.29503986291486295,0.07481349206349205
ROUGE1,After,,0.08891835373532216,
ROUGE1,Before,,0.39595930905083226,
ROUGE2,After,,0.021264964431352472,
ROUGE2,Before,,0.2658478902599159,
ROUGEL,After,,0.06930452868129965,
ROUGEL,Before,,0.35562611704554753,
